title,telephone,fax,website,address
PGD Tân Phong,(0251) 394 0592,(0251) 394 0591,https://dongnai.hdbank.com.vn/,"348C Nguyễn Ái Quốc, phường Tân Tiến, Thành Phố Biên Hòa, Tỉnh Đồng Nai"
PGD Tân Mai,(0251) 882 2502,(0251) 882 2501,https://dongnai.hdbank.com.vn/,"1/20 tổ 3, KP7, Tân Mai, Thành Phố Biên Hòa, Tỉnh Ðồng Nai, Việt Nam"
PGD Bình Sơn (Đồng Khởi cũ),(0251) 394 3132,(0251) 394 3132,https://dongnai.hdbank.com.vn/,"Đường DT769, ấp 8, xã Bình Sơn, Huyện Long Thành, Tỉnh Ðồng Nai, Việt Nam"
PGD Thạnh Phú,(0251) 386 5950,(0251) 386 5950,https://dongnai.hdbank.com.vn/,"459A, tỉnh lộ 768, ấp 1, xã Thạnh Phú, Huyện Vĩnh Cửu, Tỉnh Đồng Nai, Việt Nam"
PGD Tân Hòa,(0251) 825 3562,(0251) 888 0413,https://dongnai.hdbank.com.vn/,"58/1 - 60/1 Quốc lộ 1A, khu phố 2, phường Tân Hòa, Thành Phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam"
PGD Vĩnh An,(0251) 3960 873,(0251) 396 0873,https://dongnai.hdbank.com.vn/,"Khu phố 5, thị trấn Vĩnh An, TT. Vĩnh An, Huyện Vĩnh Cửu, Tỉnh Đồng Nai, Việt Nam"
PGD Tam Phước,(0251) 351 3266,(0251) 3 513 131,https://dongnai.hdbank.com.vn/,"246B Long Đức 1, Tam Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam"
PGD Long Bình,(0251) 383 6184,(0251) 383 6184,https://dongnai.hdbank.com.vn/,"351 Quốc lộ 51, khu phố 1, phường Long Bình Tân, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam"
PGD Nhơn Trạch,(0251) 354 8969,(0251) 354 8966,https://dongnai.hdbank.com.vn/,"Số 357, đường Hùng Vương, Ấp 3, xã Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam"
PGD Long Thành,(0251) 368 8799,(0251) 354 6946,https://dongnai.hdbank.com.vn/,"260 Lê Duẩn, Khu Văn Hải, Thị Trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam"
PGD Định Quán,(0251) 361 6648,(0251) 361 6648,https://dongnai.hdbank.com.vn/,"193 Quốc lộ 20, ấp Hiệp Quyết, TX Định Quán, Huyện Định Quán, Tỉnh Đồng Nai, Việt Nam"
PGD Phương Lâm,(0251) 366 5252,(0251) 366 5252,https://dongnai.hdbank.com.vn/,"2117 QL20 Ấp Phương Lâm 1, Xã Phú Lâm, Huyện Tân Phú, Tỉnh Đồng Nai, Việt Nam"
PGD Gia Ray,(0251) 374 3755,(0251) 374 3755,https://dongnai.hdbank.com.vn/,"362 Trần Phú, KP3, TT Gia Ray, Huyện Xuân Lộc, Tỉnh Đồng Nai, Việt Nam"
PGD Thống Nhất,(0251) 377 8867,(0251) 377 8867,https://dongnai.hdbank.com.vn/,"A2/063, quốc lộ 20, ấp Bắc Sơn, xã Quang Trung, Huyện Thống Nhất, tỉnh Đồng Nai"
PGD Sông Ray,(0251) 371 5524,(0251) 371 5524,https://dongnai.hdbank.com.vn/,"Ấp 5, xã Sông Ray, Huyện Cẩm Mỹ, Tỉnh Đồng Nai, Việt Nam"
PGD Phước Bình (Long Khánh cũ),(0251) 354 3568,,https://dongnai.hdbank.com.vn/,"Tổ 5, ấp 2, QL51, Xã Phước Bình, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam"
PGD Xuân An,(0251) 364 7593,(0251) 364 7593,https://dongnai.hdbank.com.vn/,"KP1, Hùng Vương, P. Xuân Bình, Thị Xã Long Khánh, Tỉnh Đồng Nai, Việt Nam"
PGD Đông Hòa,(0251) 367 9956,(0251) 367 9962,https://dongnai.hdbank.com.vn/,"Số 12 khu 6, ấp Bàu Cá, xã Trung Hòa, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam"
PGD Hố Nai 3,(0251) 888 9000,(0251) 888 9010,https://dongnai.hdbank.com.vn/,"Ấp Thanh Hóa Quốc Lộ 1A, Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam"
CN Vũng Tàu,(0254) 395 9799,(064) 357 6758,https://vungtau.hdbank.com.vn/,"63 Lê Hồng Phong, phường 7, Thành Phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
PGD Lý Thường Kiệt,(254) 351 3363,(064) 351 3362,https://vungtau.hdbank.com.vn/,"179A-181A Nam Kỳ Khởi Nghĩa, Phường 3, Thành Phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
PGD Phước Tĩnh,(254)3673826,(064)3673825,https://vungtau.hdbank.com.vn/,"Số 10 Tổ 2 Ấp Phước Lâm, Phường Phước Tỉnh, Huyện Long Điền, Tỉnh Bà Rịa Vũng Tàu, Việt Nam"
PGD Bà Rịa,(254)3673826,(064)3673825,https://vungtau.hdbank.com.vn/,"267 Cách Mạng Tháng 8, Phường Phước Hưng, Thị xã Bà Rịa, Tỉnh Bà Rịa Vũng Tàu, Việt Nam"
PGD Châu Đức,(254) 396 1120,(064) 396 1121,https://vungtau.hdbank.com.vn/,"số 307 Hùng Vương, KP 2, Thị Trấn Ngãi Giao, Huyện Châu Đức, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
PGD Rạch Dừa ( Lê Hồng Phong cũ),(254) 357 7079,(064) 357 7078,https://vungtau.hdbank.com.vn/,"Số 213-215 Đường 30/04 Phường Thống Nhất, Thành Phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam"
CN Tây Ninh,(0276) 392 2484,(0276) 392 2485,https://tayninh.hdbank.com.vn/,"440, Đường 30 tháng 4. Khu phố 1, Phường 3, TP Tây Ninh, Tỉnh Tây Ninh"
PGD Tân Châu,(0276) 3920 8968,(0276) 373 0979,https://tayninh.hdbank.com.vn/,"Số 105-107 Trần Văn Trà, thị trấn Tân Châu, Huyện Tân Châu, tỉnh Tây Ninh, Việt Nam"
PGD Xa Mát,(0276) 3908 768,(0276) 388 9900,https://tayninh.hdbank.com.vn/,"Số 12 Nguyễn Văn Linh, thị trấn Tân Biên, Huyện Tân Biên, Tỉnh Tây Ninh, Việt Nam"
PGD Trảng Bàng (Gò Dầu cũ),(0276) 390 8989,,https://tayninh.hdbank.com.vn/,"Số 22 Quốc lộ 22, tổ 1, khu Phố Gia Huỳnh, thị trấn Trảng Bàng, Huyện Trảng Bàng , Tỉnh Tây Ninh, Việt Nam"
CN Bình Phước,(0271) 388 3368,(0271) 388 3367,https://binhphuoc.hdbank.com.vn/,"Số 672 Quốc Lộ 14, Phường Tân Phú, Thị Xã Đồng Xoài, Tỉnh Bình Phước, Việt Nam"
PGD Thác Mơ,(0271) 377 9009,(0271) 375 6009,https://binhphuoc.hdbank.com.vn/,"Đường Nguyễn Tất Thành (ĐT 741 cũ), KP5, phường Long Phước, Thị Xã Phước Long, Tỉnh Bình Phước, Việt Nam"
CN Lâm Đồng,02633 551 100,02633 551 105,https://lamdong.hdbank.com.vn/,"1/23 Trần Phú, Phường 4, Thành Phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam"
PGD Đức Trọng,(0263) 3808 568,(0263) 2460 909,https://lamdong.hdbank.com.vn/,"Số 546 Quốc lộ 20, tổ dân Phố 29, thị trấn Liên Nghĩa, Huyện Đức Trọng, Tỉnh Lâm Đồng, Việt Nam"
CN Đăk Lăk,(0262) 382 1415,(0262) 382 1515,https://daklak.hdbank.com.vn/,"Số 10 Trần Hưng Đạo, phường Thắng Lợi, Thành Phố Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam"
PGD Krông Buk,(0262) 372 6666,(0262) 374 5555,https://daklak.hdbank.com.vn/,"Thôn Tân Lập, xã Pơng Drang, Huyện Krông Buk, Tỉnh Đắk Lắk, Việt Nam"
PGD Cư Kuin,(0262) 365 7272,(0262) 365 7474,https://daklak.hdbank.com.vn/,"Thôn 2, Xã Ea Ktur, Huyện Cư Kuin, Tỉnh Đắk Lắk, Việt Nam"
PGD Ea H'Leo,(0262) 3 908 001,(0262) 3 527 666,https://daklak.hdbank.com.vn/,"Số 412 đường Giải Phóng,thị trấn Ea Drăng, Huyện Ea H'Leo, Tỉnh Đắk Lắk, Việt Nam"
CN Đăk Nông,(0261) 730 7979,(0261) 354 6868,https://daknong.hdbank.com.vn/,"Số 354 Tôn Đức Thắng, phường Nghĩa Thành, Thị xã Gia Nghĩa, Tỉnh Đăk Nông, Việt Nam"
CN Gia Lai,(0269) 3714 100,(0269) 3714 105,https://gialai.hdbank.com.vn/,"182 Nguyễn Tất Thành, phường Phù Đổng, TP. Pleiku , tỉnh Gia Lai, Việt Nam"
PGD An Khê (Pleiku cũ),(0269) 390 8809,(0269) 3857333,https://gialai.hdbank.com.vn/,"Số 1063 Quang Trung, phường An Phú, thị xã An Khê, Tỉnh Gia Lai, Việt Nam"
PGD Đak Đoa,(0269) 390 8789,(0269) 383 1579,https://gialai.hdbank.com.vn/,"Số 297-299 Nguyễn Huệ, tổ dân Phố 3, thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam"
PGD Chư Sê,(0269) 730 3399,(0269) 730 3399,https://gialai.hdbank.com.vn/,"Số 807B Hùng Vương, thị trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai, Việt Nam"
CN Kon Tum,(0260) 391 9242,(0260) 391 9246,https://kontum.hdbank.com.vn/,"556A Trần Phú, Phường Quyết Thắng, Thành Phố Kon Tum, Tỉnh Kon Tum, Việt Nam"
PGD Ngọc Hồi,(0260) 393 2789,(0260) 393 2788,https://kontum.hdbank.com.vn/,"Số 843 Hùng Vương, tổ dân Phố 2, thị trấn Plei Kần, Huyện Ngọc Hồi, Tỉnh Kon Tum, Việt Nam"
CN Bình Thuận,(0252) 3 823 299,(0252) 3 824 333,https://binhthuan.hdbank.com.vn/,"119 Trần Hưng Đạo, Phường Phú Thủy, Thành Phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam"
PGD Hàm Thuận Nam,(0252) 3908 398,(0252) 3612 929,https://binhthuan.hdbank.com.vn/,"Khu Phố Lập Hòa, thị trấn Thuận Nam, huyện Hàm Thuận Nam, Tỉnh Bình Thuận, Việt Nam"
PGD Đức Linh,,,https://binhthuan.hdbank.com.vn/,"Số 15A đường ĐT 766, thôn 4, xã Đức Hạnh, Huyện Đức Linh, Tỉnh Bình Thuận, Việt Nam"
CN Nha Trang,(0258) 390 8909,(0258) 381 7399,https://khanhhoa.hdbank.com.vn/,"Toà nhà Ariyana Smart Condotel, 18 Trần Hưng Đạo, Phường Lộc Thọ, Thành Phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
PGD Chợ Mới,(0258)3908969,(0258)3817399,https://khanhhoa.hdbank.com.vn/,"22 Đường 23/10, Phường Ngọc Hiệp, Thành Phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
PGD Cam Ranh,(0258) 3 956 707,(0258) 3 956 808,https://khanhhoa.hdbank.com.vn/,"Số 109 Đại lộ Hùng Vương (Quốc lộ 1A), phường Cam Lợi, Thành Phố Cam Ranh, tỉnh Khánh Hòa, Việt Nam"
PGD Trung Tâm,(0258) 3818 315,(0258)3818 312,https://khanhhoa.hdbank.com.vn/,"Số 100 Hoàng Văn Thụ, Phường Vạn Thắng, Thành Phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam"
CN Phú Yên,(0257) 379 7888,(0257) 381 2281,https://phuyen.hdbank.com.vn/,"Số 355-357 Nguyễn Huệ, phường 5, thành phố Tuy Hòa, tỉnh Phú Yên"
CN Bình Định,(0256) 3 816 345,(0256) 3 816 367,https://binhdinh.hdbank.com.vn/,"89 - 91 Mai Xuân Thưởng, Thành Phố Quy Nhơn, Tỉnh Bình Định, Việt Nam"
PGD An Nhơn,(0256) 3908 588,(0256)3635 588,https://binhdinh.hdbank.com.vn/,"Số 146-148 Ngô Gia Tự, phường Bình Định, Thị Xã An Nhơn, Tỉnh Bình Định, Việt Nam"
PGD Tây Sơn (Diêu Trì cũ),(0256) 3880 399,(0256) 3880 599,https://binhdinh.hdbank.com.vn/,"Số 2B Nguyễn Huệ, thị trấn Phú Phong, Huyện Tây Sơn, Tỉnh Bình Định, Việt Nam"
PGD Bồng Sơn,(0256) 3909 666,(0256) 3561 966,https://binhdinh.hdbank.com.vn/,"Số 221-223 Quang Trung, Thị trấn Bồng Sơn, Huyện Hoài Nhơn, Tỉnh Bình Định, Việt Nam"
CN Quảng Ngãi,(0255) 373 3368,(0255) 373 3369,https://quangngai.hdbank.com.vn/,"219- 221 Quang Trung, Phường Lê Hồng Phong, Thành Phố Quảng Ngải, Tỉnh Quảng Ngãi, Việt Nam"
PGD Đức Phổ,(0255) 390 8588,(0255) 378 9555,https://quangngai.hdbank.com.vn/,"Số 310 Nguyễn Nghiêm, Thị trấn Đức Phổ, Huyện Đức Phổ, Tỉnh Quảng Ngãi, Việt Nam"
CN Quảng Nam,(0235) 393 0930,(0235) 393 0990,https://quangnam.hdbank.com.vn/,"244 Lý Thường Kiệt, Phường Sơn Phong, Thành Phố Hội An, Tỉnh Quảng Nam, Việt Nam"
PGD Tam Kỳ,(0235) 380 9999,(0235) 383 0840,https://quangnam.hdbank.com.vn/,"Số 237-239 Phan Châu Trinh, phường Phước Hòa, Thành Phố Tam Kỳ, Tỉnh Quảng Nam, Việt Nam"
CN Đà Nẵng,(0236)3664777,(0236) 366 4778,https://danang.hdbank.com.vn/,"191 Lê Lợi, Phường Hải Châu 1, Quận Hải Châu, Thành Phố Đà Nẵng, Việt Nam"
PGD Lê Duẩn,(0236) 390 8585,(0236) 375 2767,https://danang.hdbank.com.vn/,"185 Đống Đa, P.Thạch Thang, Quận Hải Châu, Thành Phố Đà Nẵng, Việt Nam"
PGD Hải Châu,(0236) 372 0962,(0236) 372 0960,https://danang.hdbank.com.vn/,"Lô 500A Điện Biên Phủ,Phường Hoà Khê, Quận Thanh Khê, Thành Phố Đà Nẵng, Việt Nam"
PGD Hòa Cường,(0236) 625 4666,(0236) 625 4656,https://danang.hdbank.com.vn/,"376 Núi Thành, P.Hòa Cường, Quận Hải Châu, Thành Phố Đà Nẵng, Việt Nam"
PGD Nguyễn Văn Linh,(0236) 625 2666,(0236) 625 2656,https://danang.hdbank.com.vn/,"150-152 Nguyễn Văn Linh, Quận Thanh Khê, Thành Phố Đà Nẵng, Việt Nam"
CN Huế,0234 3 933 399,0234 3 823 388,https://hue.hdbank.com.vn/,"41-43 Bến Nghé, Phường Phú Hộ, Thành Phố Huế, Thành Phố Huế, Việt Nam"
PGD Bắc Sông Hương,0234 3 90 80 38,0234 3 58 55 79,https://hue.hdbank.com.vn/,"Số 81 đường Mai Thúc Loan, Phường Thuận Thành, Thành Phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam"
PGD Hương Thủy,,,https://hue.hdbank.com.vn/,"Số 153 Nguyễn Tất Thành, phường Thùy Dương, Thị Xã Hương Thủy, Tỉnh Thừa Thiên Huế, Việt Nam"
VPĐD Khu Vực Phía Bắc,(024) 3944 6633,(024) 39 448 791,https://hanoi.hdbank.com.vn/,"Tầng 9 - Số 32 Trần Hưng Đạo, phường Phan Châu Trinh, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam"
CN Hà Nội,(024)37474393,(024)37474394,https://hanoi.hdbank.com.vn/,"302 Phố Kim Mã, Ngọc Khánh, Ba Đình, Hanoi, Vietnam"
PGD Hồng Hà,(024) 3209 8868,(024) 3932 8864,https://hanoi.hdbank.com.vn/,"6-8 đường Lê Văn Linh, phường Hàng Mã, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam (tầng 1 & tầng 2)"
PGD Hai Bà Trưng,(024) 3976 5524,(024) 3976 5520,https://hanoi.hdbank.com.vn/,"183 Bà Triệu, phường Lê Đại Hành, Quận Hai Bà Trưng, Thành Phố Hà Nội, Việt Nam"
PGD Đống Đa,(024) 3513 2344,(024) 3513 2346,https://hanoi.hdbank.com.vn/,"Căn nhà liền kề LK11A-01, Khu đo thị mới Mỗ Lao, phường Mộ Lao, quận Hà Đông"
PGD Linh Đàm,(024) 35 401 006,(024) 35 401 005,https://hanoi.hdbank.com.vn/,"BT1 ô số 07 khu nhà ở Bắc Linh Đàm-Nguyễn Hữu Thọ, Phường Đại Kim, Quận Hoàng Mai, Thành Phố Hà Nội, Việt Nam"
PGD Hoàng Văn Thái,(024) 3566 7037,(024) 3566 7040,https://hanoi.hdbank.com.vn/,"142 Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Thành Phố Hà Nội"
PGD Hà Thành,(024) 3987 8481,(024) 3987 8490,https://hanoi.hdbank.com.vn/,"288 Lạc Trung, Phường Vĩnh Tuy, quận Hai Bà Trưng, thành Phố Hà Nội, Việt Nam"
PGD Văn Quán (Vạn Xuân cũ),(024) 32095 599,(024) 32095 599,https://hanoi.hdbank.com.vn/,"Số 54 Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Thành Phố Hà Nội, Việt Nam"
PGD Đông Đô,(024) 3.929.1666,(024) 3.929.0797,https://hanoi.hdbank.com.vn/,"T.1&T.2, số 81+83, tổ 9 (nay là tổ 4), thị trấn Đông Anh, huyện Đông Anh, Thành Phố Hà Nội, Việt Nam"
PGD Nam Đô,(024) 3208 6869,(024) 3.929.0797,https://hanoi.hdbank.com.vn/,"Tầng 1-2-3, căn A6+A7 Số 257 Giải phóng, phường Phương Mai, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam (Địa chỉ giao dịch: 46 Phố Vọng, phường Phương Mai, Quận Đống Đa, Thành Phố Hà Nội)"
PGD Kinh Đô,(024) 3538 0659,(024) 3538 0657,https://hanoi.hdbank.com.vn/,"Số 40 đường Kim Đồng, phường Giáp Bát, quận Hoàng Mai, Thành Phố Hà Nội, Việt Nam"
PGD Thành Công,(024) 3773 8919,(024) 3773 8917,https://hanoi.hdbank.com.vn/,"101 và 201-C18 Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
PGD Thượng Đình,(024) 3551 2083,(024) 3551 02831,https://hanoi.hdbank.com.vn/,"Tầng 1 Tòa Nhà Nam Anh, số 68 Ngõ 116 Nhân Hòa, phường Nhân Chính, Quận Thanh Xuân, Thành Phố Hà Nội, Việt Nam"
PGD Hoàng Mai,(024) 3209 6768,(024) 3640 083,https://hanoi.hdbank.com.vn/,"86 Võ Thị Sáu, Thanh Nhàn, Hai Bà Trưng, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam"
PGD Yên Thái,(024) 3759 2906,(024) 3759 2904,https://hanoi.hdbank.com.vn/,"Số 392 Thụy Khuê, phường Bưởi, Quận Tây Hồ, Thành Phố Hà Nội, Việt Nam"
CN Hoàn Kiếm,(024)3944 6633,(024)39448791,https://hanoi.hdbank.com.vn/,"32 Trần Hưng Đạo, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành Phố Hà Nội, Việt Nam"
PGD Thành Đô (Thái Thịnh cũ),(024) 3562 5641,(024) 3562 6814,https://hanoi.hdbank.com.vn/,"Số 20 tập thể T579C Phố Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
PGD Hà Đông,(024) 33 553 888,(024) 3355 2882,https://hanoi.hdbank.com.vn/,"Ô số 5, lô biệt thự BT1, khu đô thị Văn Phú, Quận Hà Đông, Thành Phố Hà Nội, Việt Nam"
PGD Thủ Đô,(024)39448895,(024)39448891,https://hanoi.hdbank.com.vn/,"Số 690 đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Thành Phố Hà Nội, Việt Nam"
PGD Trần Hưng Đạo,(024) 3941 0177,(024) 3941 0174,https://hanoi.hdbank.com.vn/,"33 Tràng Thi, Phường Trần Hưng Đạo, Quận Hoàn Kiếm , Thành Phố Hà Nội, Việt Nam"
PGD Gia Lâm (Tràng Tiền cũ),(024) 37 475 956,(024) 3 747 5950,https://hanoi.hdbank.com.vn/,"Số 111 đường Ngô Xuân Quảng, thị trấn Trâu Quỳ, Huyện Gia Lâm, Thành Phố Hà Nội, Việt Nam"
PGD Phan Đình Phùng (Nguyễn Trường Tộ cũ),(024) 3927 5448,(024) 3927 5449,https://hanoi.hdbank.com.vn/,"Số 37B+37C phố Phan Đình Phùng, phường Quán Thánh, Quận Ba Đình, Thành Phố Hà Nội, Việt Nam"
PGD Triều Khúc,(024) 3552 8019,(024) 3552 8044,https://hanoi.hdbank.com.vn/,"Thôn Triều Khúc, xã Tân Triều, Huyện Thanh Trì, Thành Phố Hà Nội, Việt Nam"
PGD Lê Thanh Nghị,(024) 3627 6748,(024) 3627 6753,https://hanoi.hdbank.com.vn/,"Số 142 Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Thành Phố Hà Nội, Việt Nam"
PGD Long Biên,(024) 3209 3939,(024) 3652 7172,https://hanoi.hdbank.com.vn/,"Ngõ 562 Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Thành Phố Hà Nội, Việt Nam"
PGD Tràng An,(024) 3760 6066,(024) 3760 6065,https://hanoi.hdbank.com.vn/,"LKA12 Dự án khu nhà ở thấp tầng A1TT1, phường Xuân Tân, Q Bắc Từ Liêm, TP.Hà Nội"
PGD Nam Hà Nội,(024) 3208 0675,(024) 3939 3543,https://hanoi.hdbank.com.vn/,"224 Phố Ga, Thị trấn Thường Tín, Huyện Thường Tín, Thành phố Hà Nội, Việt Nam"
CN Ba Đình,(024) 3755 5959,(024) 3795 9219,https://hanoi.hdbank.com.vn/,"243A, Đê La Thành, Láng Thượng, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
PGD Tây Đô,(024) 3782 5566,,https://hanoi.hdbank.com.vn/,"Số 11 đường Nguyễn Văn Huyên kéo dài, tổ 22, phương Quan Hoa, Quận Cầu Giấy , Thành Phố Hà Nội, Việt Nam"
PGD Trung Hòa,(024)62816189,(024)62816190,https://hanoi.hdbank.com.vn/,"80 Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Tây Hồ,(024)37586062,(024)37586064,https://hanoi.hdbank.com.vn/,"22 Xuân La, Phường Xuân La, Quận Tây Hồ, Thành Phố Hà Nội, Việt Nam"
PGD Kim Liên (PGD Hoài Đức cũ),(024) 3366 1229,(024) 3366 1228,https://hanoi.hdbank.com.vn/,"Số 59 Xã Đàn, phường Phương Liên, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
PGD Tây Hà Nội,(024) 3755 5858,(024) 3748 0978,https://hanoi.hdbank.com.vn/,"138 Hoàng Quốc Việt, Nghĩa Tân,Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Cầu Giấy,(024) 3768 8806,(04) 3768 8805,https://hanoi.hdbank.com.vn/,"12 Trương Công Giai, Phường Dịch Vọng, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Thanh Xuân,(024) 62 86 2525,,https://hanoi.hdbank.com.vn/,"144 Khuất Duy Tiến, Quận Thanh Xuân, Thành Phố Hà Nội, Việt Nam"
PGD Mỹ Đình 1,(024) 2221 3978,(024) 2221 3979,https://hanoi.hdbank.com.vn/,"Số B2-09 Khu chức năng đô thị Thành phố Xanh, phường Cầu Diễn, quận Nam Từ Liêm, Thành Phố Hà Nội, Việt Nam"
PGD Trung Yên,(024) 3783 5355,(024) 3783 5354,https://hanoi.hdbank.com.vn/,"17 Lô 14A, KĐT Trung Yên, Phường Trung Hòa, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Mỹ Đình 2,(024) 3787 8283,(024) 3787 8288,https://hanoi.hdbank.com.vn/,"Lô 117 Kiểu nhà 1B khu nhà ở thấp tầng TT3, TDP Số 4 Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành Phố Hà Nội, Việt Nam"
PGD Từ Liêm,(024) 3 786 0012,(024) 3 786 0017,https://hanoi.hdbank.com.vn/,"Tổ dân Phố số 8 Tu Hoàng, phường Phương Canh, Quận Nam Từ Liêm, Thành Phố Hà Nội, Việt Nam"
CN Hùng Vương,(024) 6258 4179,(024) 6258 4180,https://hanoi.hdbank.com.vn/,"Số 23 Duy Tân, phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành Phố Hà Nội, Việt Nam (Một phần tầng 1&2)"
PGD Bắc An Khánh (Nguyễn Chí Thanh cũ),(024) 3 775 9744,,https://hanoi.hdbank.com.vn/,"Tầng 1-Zone A1, Tòa nhà 101 Khu chung cư, Khu đô thị Splendora, Bắc An Khánh, Thành Phố Hà Nội, Việt Nam"
PGD Trần Duy Hưng,(024) 6281 4222,(024) 6281 4230,https://hanoi.hdbank.com.vn/,"Tầng 1 Tòa Nhà CT3, phường Trung Hòa, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Hạ Đình (Ô Chợ Dừa cũ),(024) 3209 5868,(024) 3514 9853,https://hanoi.hdbank.com.vn/,"Tầng 1+2, số 109 Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Thành Phố Hà Nội, Việt Nam"
PGD Quang Trung,(024)7300 7272,(024) 3355 4921,https://hanoi.hdbank.com.vn/,"Lô T1-03, tầng 1, tòa nhà CT2, chung cư Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Thành Phố Hà Nội, Việt Nam"
PGD Mỹ Đình,(024) 3795 8848,(024) 3795 8849,https://hanoi.hdbank.com.vn/,"01 Lê Đức Thọ, Phương Mai Dịch, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
CN Hồ Gươm,(024) 3933 5373,(024) 3933 5171,https://hanoi.hdbank.com.vn/,"Số 66 Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành Phố Hà Nội, Việt Nam"
