title,telephone,fax,website,address
PGD Hà Huy Tâp,(024) 3652 6819,(024) 3652 6820,https://hanoi.hdbank.com.vn/,"Số 547 Ngô Gia Tự, Đức Giang, Quận Long Biên, Thành Phố Hà Nội, Việt Nam"
PGD Vĩnh Tuy (Hàng Buồm cũ),(024) 7300 9979,(024) 3926 4780,https://hanoi.hdbank.com.vn/,"Số 222 Phố Dương Văn Bé, Phường Vĩnh Tuy, Quận Hai Bà Trưng, thành phố Hà Nội, Việt Nam"
PGD Nguyễn Khang (Bắc Linh Đàm cũ),024) 6276 3542,,https://hanoi.hdbank.com.vn/,"Số 78 Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Thành Phố Hà Nội, Việt Nam"
PGD Yên Phụ,(024) 3715 3547,(024) 7300 9919,https://hanoi.hdbank.com.vn/,"Số 45 đường Âu Cơ, Phường Quảng An, quận Tây Hồ, thành phố Hà Nội, Việt Nam"
PGD Sài Đồng (Lạc Trung cũ),(024) 3208 3355,(024) 3987 8700,https://hanoi.hdbank.com.vn/,"Số 66 Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành Phố Hà Nội, Việt Nam"
PGD Tương Mai (Khâm Thiên cũ),(024) 3923 4888,(024) 3923 4095,https://hanoi.hdbank.com.vn/,"154 phố Tân Mai, phường Tương Mai, quận Hoàng Mai, Thành Phố Hà Nội, Việt Nam"
PGD Lương Định Của,(024) 3208 1199,(024) 3576 5980,https://hanoi.hdbank.com.vn/,"Số 02, ngõ 11+13 Lương Định Của, Phường Kim Liên, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
PGD Ngọc Thụy (Nguyễn Lương Bằng cũ),(024) 3209 7799,,https://hanoi.hdbank.com.vn/,"Số 246 Ngọc Thuỵ, Phường Ngọc Thuỵ Quận Long Biên , Thành Phố Hà Nội, Việt Nam"
PGD Thái Thịnh,(024) 3538 1046,(024) 3538 1046,https://hanoi.hdbank.com.vn/,"61 Phố Thái Thịnh,tổ 13b, Phường Thịnh Quang, Quận Đống Đa, Thành Phố Hà Nội, Việt Nam"
CN Ninh Bình,(0229) 390 8668,,https://ninhbinh.hdbank.com.vn/,"Số 67 đường Lương Văn Tụy, Phố Phúc Tân, phường Phúc Thành, Thành Phố Ninh Bình, Tỉnh Ninh Bình, Việt Nam"
CN Hà Tĩnh,(0239) 3686 986,(0239) 3686 589,https://hatinh.hdbank.com.vn/,"Số 70 Phan Đình Phùng, Phường Bắc Hà, Thành Phố Hà Tĩnh, Tỉnh Hà Tĩnh, Việt Nam"
PGD Vũng Áng,(0239) 3715 779,(0239) 3715 766,https://hatinh.hdbank.com.vn/,"Thôn Liên Giang, Xã Kỳ Long, Huyện Kỳ Anh, Tỉnh Hà Tĩnh, Việt Nam"
PGD Lộc Hà,(0239) 3909 566,(0239) 6269 888,https://hatinh.hdbank.com.vn/,"Đường 22.12, thôn Hồng Lạc, xã Thạch Châu, Huyện Lộc Hà, Tỉnh Hà Tĩnh, Việt Nam"
PGD Hương Sơn,(0239) 3909 266,(0239) 3515 888,https://hatinh.hdbank.com.vn/,"56 Nguyễn Tuấn Thiện, khối phố 1, thị trấn Phố Châu, Huyện Hương Sơn, Tỉnh Hà Tĩnh, Việt Nam"
CN Nghệ An,(0238) 860 3777,(0238) 860 1599,https://nghean.hdbank.com.vn/,"39 Lê Hồng Phong, phường Hưng Bình, Thành Phố Vinh, Tỉnh Nghệ An, Việt Nam"
PGD Đô Lương (Hưng Phúc cũ),(0238) 354 6777,(0238) 354 6789,https://nghean.hdbank.com.vn/,"Khu đô thị mới Vườn Xanh, khối 4, thị trấn Đô Lương, Tỉnh Nghệ An, Việt Nam"
PGD Quán Hành,(0238) 361 5615,(0238) 361 5888,https://nghean.hdbank.com.vn/,"Tòa nhà công ty cổ phần thương mại Bảo Hưng, Khối Phố 4, Thị Trấn Quán Hành, Huyện Nghi Lộc, Tỉnh Nghệ An, Việt Nam"
PGD Bắc Nghệ An (Minh Khai cũ),(0238) 355 3388,(0238) 355 3377,https://nghean.hdbank.com.vn/,"Khối Bắc Mỹ, phường Quỳnh Thiện, thị xã Hoàng Mai, Tỉnh Nghệ An, Việt Nam"
PGD Diễn Châu (Trường Thi cũ),(0238) 320 8899,(0238) 367 8556,https://nghean.hdbank.com.vn/,"Thôn 7, xã Diễn Kỷ, Huyện Diễn Châu, Tỉnh Nghệ An, Việt Nam"
PGD Vinh,(0238) 376 8888,(0238) 376 8999,https://nghean.hdbank.com.vn/,"Số 22 Quang Trung, phường Quang Trung, Thành Phố Vinh, Tỉnh Nghệ An, Việt Nam"
CN Thanh Hóa,(0237) 391 9369,(0237) 391 1369,https://thanhhoa.hdbank.com.vn/,"Số 13+14 Phố Phan Chu Trinh, P.Điện Biên, Thành Phố Thanh Hóa, Tỉnh Thanh Hóa, Việt Nam"
PGD Lam Sơn,0237.7300.999,(0237) 375 5636,https://thanhhoa.hdbank.com.vn/,"Số 448 đường Quang Trung, phường Đông Vệ, Thành Phố Thanh Hóa, Tỉnh Thanh Hóa, Việt Nam"
PGD Đào Duy Từ,(0237) 730 0068,(0237) 371 4686,https://thanhhoa.hdbank.com.vn/,"LK1-19 Phố Đào Duy Từ, phường Ba Đình, Thành Phố Thanh Hóa, Tỉnh Thanh Hóa, Việt Nam"
PGD Tĩnh Gia,(0237) 730 0079,(0237) 361 7299,https://thanhhoa.hdbank.com.vn/,"Số 232 Quang Trung, tiểu khu 3, thị trấn Tĩnh Gia,Huyện Tĩnh Gia, Tỉnh Thanh Hóa, Việt Nam"
CN Quảng Bình,(0232) 390 8868,(0232) 384 6886,https://quangbinh.hdbank.com.vn/,"Số 352 Trần Hưng Đạo, phường Nam Lý, Thành Phố Đồng Hới, Tỉnh Quảng Bình, Việt Nam"
CN Nam Định,(0228) 355 5399,(0228) 385 5669,https://namdinh.hdbank.com.vn/,"Số 08 Nguyễn Du, phường Nguyễn Du, Thành Phố Nam Định, Tỉnh Nam Định, Việt Nam"
PGD Chợ Rồng,(0228) 390 9779,(0228) 385 2838,https://namdinh.hdbank.com.vn/,"Số 97 Thành Chung, phường Cửa Bắc, Thành Phố Nam Định, Tỉnh Nam Định, Việt Nam"
CN Hải Dương,(0220) 389 9339,(0220) 389 9334,https://haiduong.hdbank.com.vn/,"Số 360 Nguyễn Lương Bằng, Thành Phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
PGD Điện Biên Phủ,(0220) 384 5111,(0220) 384 5112,https://haiduong.hdbank.com.vn/,"Số 199 Điện Biên Phủ, phường Bình Hàn, Thành Phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
PGD Thành Đông (PGD Chí Linh cũ),(0220) 385 5111,(0220) 385 5123,https://haiduong.hdbank.com.vn/,"Số 22 Quang Trung, phường Quang Trung, Thành Phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
PGD Trường An,,,https://haiduong.hdbank.com.vn/,"Số 225-227, đường Trường Chinh, phường Thanh Bình, Thành Phố Hải Dương, Tỉnh Hải Dương, Việt Nam"
CN Hưng Yên,(0221) 390 8888,(0221) 386 8555,https://hungyen.hdbank.com.vn/,"Số 129 Hải Thượng Lãn Ông, phường Hiến Nam, Thành Phố Hưng Yên, Tỉnh Hưng Yên, Việt Nam"
CN Thái Bình,(0227) 3 809 899,(0227) 6 251 616,https://thaibinh.hdbank.com.vn/,"Lô 7-8 Trần Phú, phường Trần Hưng Đạo, Thành Phố Thái Bình, Tỉnh Thái Bình, Việt Nam"
CN Hải Phòng,(0225) 326 0666,(0225) 326 0888,https://haiphong.hdbank.com.vn/,"Số 116 (tầng 2 và tầng 10) Nguyễn Đức Cảnh, Phường Cát Dài, Quận Lê Chân, Thành Phố Hải Phòng, Việt Nam"
PGD Hải Đăng,(0225) 355 6669,(0255) 355 6111,https://haiphong.hdbank.com.vn/,"Số 02, lô 22A, Lê Hồng Phong, P.Đông Khê, Quận Ngô Quyền, Thành Phố Hải Phòng, Việt Nam"
PGD Ngô Quyền,(0225) 395 6875,(0255) 395 6876,https://haiphong.hdbank.com.vn/,"376 Tô Hiệu, P.Hồ Nam, Quận Lê Chân, Thành Phố Hải Phòng, Việt Nam"
PGD Lê Chân,,,https://haiphong.hdbank.com.vn/,"Số 116C Lương Khánh Thiện, P. Lương Khánh Thiện, Quận Ngô Quyền, Thành Phố Hải Phòng, Việt Nam"
CN Bắc Ninh,(0222) 390 8388,(0222) 222 1988,https://bacninh.hdbank.com.vn/,"Tầng 1 Tòa nha Viglacera, số 15 Lý Thái Tổ, Thành Phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam"
PGD Yên Phong,(0222) 390 9198,,https://bacninh.hdbank.com.vn/,"Số 178 đường 286, thị trấn Chờ, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam"
CN Bắc Giang,(0204) 390 8068,(0204) 625 2222,https://bacgiang.hdbank.com.vn/,"Số 772 đường Lê Lợi, Phường Dĩnh Kế, Thành Phố Bắc Giang, Tỉnh Bắc Giang, Việt Nam"
CN Quảng Ninh,(0203) 361 8222,(0203) 363 8111,https://quangninh.hdbank.com.vn/,"Số 9A-10A đường 25/4, phường Hồng Gai, Thành Phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam"
PGD Cẩm Phả,(0203) 3908 238,(0203) 3816 222,https://quangninh.hdbank.com.vn/,"Số 402 Trần Phú, phường Cẩm Trung, Thành Phố Cẩm Phả, Tỉnh Quảng Ninh, Việt Nam"
PGD Uông Bí,(0203) 390 9109,(0203) 356 3666,https://quangninh.hdbank.com.vn/,"Số 01 Trần Quốc Toản, tổ 28, khu 8, P.Quang Trung, Thành Phố Uông Bí, Tỉnh Quảng Ninh, Việt Nam"
PGD Mạo Khê,(0203) 390 8138,(0203) 358 6222,https://quangninh.hdbank.com.vn/,"Số 137 đường Hoàng Hoa Thám, Phường Mạo Khê, Thị Xã Đông Triều, Tỉnh Quảng Ninh, Việt Nam"
CN Thái Nguyên,(0208) 393 9899,(0208) 365 5898,https://thainguyen.hdbank.com.vn/,"Đường Bắc Sơn, KDC số 01, Phường Hoàng Văn Thụ, Thành Phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam"
CN Vĩnh Phúc,(0211) 730 6868,(0211) 351 0789,https://vinhphuc.hdbank.com.vn/,"Số 3 đường Mê Linh, Phường Liên Bảo, Thành Phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam"
CN Lạng Sơn,(0205) 3819 555,(0205) 3819 998,https://langson.hdbank.com.vn/,"Số 408 Bà Triệu, Phường Vĩnh Trại, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam"
PGD Đồng Đăng,(0205) 3908 088,(0205) 3892 988,https://langson.hdbank.com.vn/,"Số 119 Khu Dây Thép, thị trấn Đồng Đăng, Huyện Cao Lộc, Tỉnh Lạng Sơn, Việt Nam"
PGD Hữu Lũng,(0205) 3909 699,(0205) 3808 366,https://langson.hdbank.com.vn/,"Số 10A Chi Lăng, Khu An Ninh, thị trấn Hữu Lũng, Huyện Hữu Lũng, Tỉnh Lạng Sơn, Việt Nam"
CN Lào Cai,(0214) 366 6188,(0214) 366 6166,https://laocai.hdbank.com.vn/,"Số 143 đường Hoàng Liên, P.Cốc Lếu, Thành Phố Lào Cai, Tỉnh Lào Cai, Việt Nam"
PGD Bắc Cường (Cam Đường cũ),(0214) 390 8839,(0214) 385 9996,https://laocai.hdbank.com.vn/,"Số 6 đường Trần Hưng Đạo, phường Bắc Cường,Thành Phố Lào Cai, Tỉnh Lào Cai, Việt Nam"
PGD Duy Minh,(0275) 730 8899,(0275) 730 8899,https://bentre.hdbank.com.vn/,"Trung tâm thương mại Thạnh Phú, Số 411/1 Khu phố 1, thị trấn Thạnh Phú, huyện Thạnh Phú, tỉnh Bến Tre"
PGD Gò Công,(0273) 730 8668,(0273) 730 8668,https://tiengiang.hdbank.com.vn/,"số 124-126 đường Trương Định, khu phố 3, phường 2, thị xã Gò Công, tỉnh Tiền Giang"
PGD Cái Bè,(0273) 730 8686,(0273) 730 8686,https://tiengiang.hdbank.com.vn/,"Số 150 Tỉnh lộ 875, ấp 5, xã Phú An, huyên Cai Lậy, tỉnh Tiền Giang"
CN Bạc Liêu,(0291) 390 8686,(0291) 390 8686,https://baclieu.hdbank.com.vn/,"Số 206-208 đường Trần Phú, phường 7, TP. Bạc Liêu, tỉnh Bạc Liêu"
PGD Bình Minh (Bình Tân cũ),(0270) 730 8686,(0270) 730 8686,https://vinhlong.hdbank.com.vn/,"Số 75 Nguyễn Văn Thảnh, Khóm 2, Phường Cái Vồn, thị xã Bình Minh, tỉnh Vĩnh Long"
PGD Bù Đăng,,,https://binhphuoc.hdbank.com.vn/,"Số 281 Quốc lộ 14, thị trấn Đức Phong, huyện Bù Đăng, tỉnh Bình Phước"
PGD Chơn Thành,,,https://binhphuoc.hdbank.com.vn/,"Số 69 Đường 2 tháng 4, KP.3, thị trấn Chơn Thành, huyện Chơn Thành, tỉnh Bình Phước"
PGD Di Linh,,,https://lamdong.hdbank.com.vn/,"749 Hùng Vương, thị trấn Di Linh, huyên Di Linh, tỉnh Lâm Đồng"
PGD Bảo Lộc,,,https://lamdong.hdbank.com.vn/,"40 Hà Giang, phường Lộc Sơn, thành phố Bảo Lộc, tỉnh Lâm Đồng"
PGD Phan Rí,,,https://binhthuan.hdbank.com.vn/,"167 Thống Nhất, dân phố 6, thị trấn Phan Rí Cửa, huyện Tuy Phong, tỉnh Bình Thuận"
CN Ninh Thuận,,,https://ninhhuan.hdbank.com.vn/,"Số 207B Ngô Gia Tự, KP 5, phường Thanh Sơn, TP Phan Rang Tháp Chàm, tỉnh Ninh Thuận"
PGD Tuy An,,,https://phuyen.hdbank.com.vn/,"318-320 Quốc Lộ 1A, thị trấn Chí Thạnh, huyện Tuy An, tỉnh Phú Yên"
PGD Hòa Hiệp,,,https://phuyen.hdbank.com.vn/,"Đường Hòa Hiệp, phường Hòa Hiệp Trung, thị xã Đông Hòa, tỉnh Phú Yên"
PGD Sơn Hà,,,https://quangngai.hdbank.com.vn/,"348 đường 17 tháng 3, thị trấn Di Lăng, huyện Sơn Hà, tỉnh Quảng Ngãi"
PGD Điện Bàn,,,https://quangnam.hdbank.com.vn/,"147 Trần Nhân Tông, phường Vĩnh Điện, thị xã Điện Bàn, tỉnh Quảng Nam"
PGD Hương Trà,(0234) 730 8899,,https://hue.hdbank.com.vn/,"Số 70 Cách Mạng Tháng 8, phường Tứ Hạ, thị xã Hương Trà, tỉnh Thừa Thiên Huế"
CN Hà Nam,,,https://hanam.hdbank.com.vn/,"Số PG1-08A VinCom, đường Biên Hòa, Tổ 5, Phường Minh Khai, thành phố Phủ Lý, tỉnh Hà Nam"
CN Sơn La,,,https://sonla.hdbank.com.vn/,"Số 457A đường Chu Văn Thịnh, phường Chiềng Lề, thành phố Sơn La, tỉnh Sơn La"
PGD Thuận Thành,,,https://bacninh.hdbank.com.vn/,"Toàn bộ căn nhà tại LK13_1 và một phần căn nhà LK13_2, Khu nhà ở TMDV tổng hợp thị trấn Hồ, huyện Thuận Thành, tỉnh Bắc Ninh"
PGD Sa Pa,(0214) 390 9668,,https://laocai.hdbank.com.vn/,"Số 417 Điện Biên Phủ, TT Sa Pa, huyện Sa Pa, tỉnh Lào Cai"
CN Phú Thọ,,,https://phutho.hdbank.com.vn/,"Số 2191 đường Hùng Vương, phường Gia Cẩm, thành phố Việt Trì, tỉnh Phú Thọ"
PGD Ba Đồn,(0232) 370 6686,,https://quangbinh.hdbank.com.vn/,"137-139 Hùng Vương, Quảng Long, Quảng Trạch District, tỉnh Quảng Bình, Vietnam."
PGD Việt Yên,,,https://bacgiang.hdbank.com.vn/,"Thôn Vàng, thị trấn Bích Động, huyện Việt Yên, tỉnh Bắc Giang"
CN Trà Vinh,(0294) 730 8868,(0294) 730 8868,https://travinh.hdbank.com.vn/,"Vincom Shophouse PG1-01-02-03 đường Nam Kỳ Khởi Nghĩa, Khóm 3, Phường 2, TP Trà Vinh, tỉnh Trà Vinh"
PGD Cai Lậy,(0273) 730 2468,(0273) 730 2468,https://tiengiang.hdbank.com.vn/,"Số 2-4-6-8 Đặng Văn Thạnh, khu phố 1, phường 1, thị xã Cai Lậy, tỉnh Tiền Giang."
PGD Kiến Đức,,,https://daknong.hdbank.com.vn/,"Số 03 Nguyễn Tất Thành, thị trấn Kiến Đức, huyện Đắk R'Lấp, tỉnh Đắk Nông"
PGD Đắk Mil,,,https://daknong.hdbank.com.vn/,"Số 16 Trần Hưng Đạo, thị trấn Đắk Mil, tỉnh Đắk Nông"
PGD Đắk Hà,,,https://kontum.hdbank.com.vn/,"Số 501 Hùng Vương, thị trấn Đắk Hà, huyện Đắk Hà, tỉnh Kon Tum"
PGD Sông Hinh,,,https://phuyen.hdbank.com.vn/,"Số 82 Trần Hưng Đạo, khu phố 4, thị trấn Hai Riêng, huyện Sông Hinh, tỉnh Phú Yên"
PGD Tư Nghĩa,,,https://quangngai.hdbank.com.vn/,"Số 248 Nguyễn Huệ, thị trấn La Hà, huyện Tư Nghĩa, tỉnh Quảng Ngãi"
PGD Núi Thành,,,https://quangnam.hdbank.com.vn/,"Số 193 Nguyễn Văn Linh, thị trấn Núi Thành, huyên Núi Thành, tỉnh Quảng Nam"
CN Quảng Trị,(0233) 730 8868,,https://quangtri.hdbank.com.vn/,"101 Quốc lộ 9, Đông Hà, tỉnh Quảng Trị, Vietnam."
PGD Bố Trạch,(0232) 730 5969,,https://quangbinh.hdbank.com.vn/,"Số 49 Hùng Vương, thị trấn Hoàn Lão, huyện Bố Trạch, tỉnh Quảng Bình"
PGD Lệ Thủy,(0232) 730 5868,,https://quangbinh.hdbank.com.vn/,"Số 42 Nguyễn Tất Thành, thị trấn Kiến Giang, huyện Lệ Thủy, tỉnh Quảng Bình"
PGD Thành Nam,,,https://namdinh.hdbank.com.vn/,"Số 130+132 đường Quang Trung, phường Quang Trung, thành phố Nam Định, tỉnh Nam Định"
PGD Văn Giang,,,https://hungyen.hdbank.com.vn/,"Số 137 đường 179, thị trấn Văn Giang, huyện Văn Giang, tỉnh Hưng Yên."
PGD Khoái Châu (Ân Thi cũ),,,https://hungyen.hdbank.com.vn/,"Khu Trung tâm thương mại, thôn An Bình, xã Dân Tiến, huyên Khoái Châu, tỉnh Hưng Yên"
PGD Bắc Hưng Yên,,,https://hungyen.hdbank.com.vn/,"Trung tâm thương mại Dịch vụ 2 thuộc dự án Khu nhà ở công nhân, nhà ở thương mại Lạc Hồng - Phố Nối, phường Nhân Hòa, thị xã Mỹ Hào, tỉnh Hưng Yên"
PGD Tân Yên,,,https://bacgiang.hdbank.com.vn/,"Lô D3, trên mặt đường Cao Kỳ Vân, quy hoạch chi tiết khu dân cư mới, Thị trấn Cao Thượng, huyện Tân Yên, tỉnh Bắc Giang"
PGD Phổ Yên,,,https://thainguyen.hdbank.com.vn/,"Số 17, Tổ dân phố số 6, phường Ba Hàng, thị xã Phổ Yên, tỉnh Thái Nguyên"
PGD Phúc Yên,,,https://vinhphuc.hdbank.com.vn/,"Số 1 đường Sóc Sơn, phường Trưng Trắc, thành phố Phúc Yên, tỉnh Vĩnh Phúc"
CN Cao Bằng,(0206) 730 6886,,https://caobang.hdbank.com.vn/,"Số 40 phố Kim Đồng, phường Hợp Giang, thành phố Cao Bằng, tỉnh Cao Bằng"
CN Tuyên Quang,(0207) 730 6886,(0207) 730 6886,https://tuyenquang.hdbank.com.vn/,"Số 69 Hà Huy Tâp, phường Phan Thiết, thành phố Tuyên Quang, tỉnh Tuyên Quang"
CN Yên Bái,(0207) 730 6886,,https://yenbai.hdbank.com.vn/,"Số 738 đường Điên Biên, phường Minh Tân, TP.Yên Bái, tỉnh Yên Bái"
CN Hòa Bình,0218 730 8868,,https://hoabinh.hdbank.com.vn/,"589 Cù Chính Lan, phường Phương Lâm, thành phố Hòa Bình, tỉnh Hòa Bình"
PGD Hóc Môn,(028) 7308 9968,,https://hochiminh.hdbank.com.vn/,"98/3 Đường Bà Triệu, Khu phố 1, Thị trấn Hóc Môn, Huyện Hóc Môn, Thành Phố Hồ Chí Minh"
PGD Hoa Lư,(0229) 730 5968,,https://ninhbinh.hdbank.com.vn/,"422 Nguyễn Công Trứ, Phường Ninh Sơn, Thành phố Ninh Bình, Tỉnh Ninh Bình"
CN Hậu Giang,(0293) 390 0688,,https://haugiang.hdbank.com.vn/,"100-100A-100B, đường Nguyễn Thái Học, phường 1, TP Vị Thanh, Tỉnh Hậu Giang"
PGD Bến Cát,(0274) 730 3366,,https://binhduong.hdbank.com.vn/,"Lô C - ô số 1, KDC Mỹ Phước 4 - Khu A, P.Mỹ Phước, thị xã Bến Cát, Tỉnh Bình Dương"
PGD Thuận An,(0274) 380 9768,,https://binhduong.hdbank.com.vn/,"45/2 Đường tỉnh 743, Thuận An, Bình Dương, Vietnam"
PGD Tuy Đức,(0261) 730 1868,,https://daknong.hdbank.com.vn/,"Đắk Búk So, Tuy Đức, Dak Nong, Vietnam"
PGD Đắk Bla,(0260) 386 8866,,https://kontum.hdbank.com.vn/,"931 Phạm Văn Đồng, phường Trần Hưng Đạo, Kon Tum, tỉnh Kon Tum, Vietnam"
PGD Ninh Phước,,,https://ninhhuan.hdbank.com.vn/,"Khu phố 4, thị trấn Phước Dân, Phan Rang–Tháp Chàm, tỉnh Ninh Thuận, Vietnam"
PGD Đầm Sen,(0283) 7308 0086,,https://hochiminh.hdbank.com.vn/,"173 Hòa Bình, phường Hiệp Tân, quận Tân Phú, Thành phố Hồ Chí Minh, Vietnam"
PGD Minh Diệu,(0291) 730 8668,(0291) 730 8668,https://baclieu.hdbank.com.vn/,"Số 603 Đường Quốc lộ 1A, thị trấn Hoà Bình, huyện Hòa Bình, tỉnh Bạc Liêu, Vietnam"
PGD Giá Rai,(0291) 730 3968,(0291) 730 3968,https://baclieu.hdbank.com.vn/,"Số 122 Quốc lộ 1A, phường Hộ Phòng, thị xã Giá Rai, tỉnh Bạc Liêu, Việt Nam"
CN Phú Quốc,(0297) 730 6368,(0297) 730 6368,https://kiengiang.hdbank.com.vn/,"Số 139 đường Nguyễn Trung Trực, phường Dương Đông, TP. Phú Quốc, tỉnh Kiên Giang, Việt Nam"
PGD Hòn Đất,(0297) 730 6668,(0297) 730 6668,https://kiengiang.hdbank.com.vn/,"Số 11, Tổ 10, Khu phố Đường Hòn, thị trấn Hòn Đất, huyện Hòn Đất, tỉnh Kiên Giang, Việt Nam"
PGD Tắc Vân,(0290) 730 5599,(0290) 730 5599,https://camau.hdbank.com.vn/,"Số 666 Đường Quốc lộ 1A, xã Tắc Vân, TP. Cà Mau, tỉnh Cà Mau, Việt Nam"
PGD Hải Hậu,(0228) 368 8388,(0228) 368 8388,https://namdinh.hdbank.com.vn/,"Số 130+132 đường Quang Trung, phường Quang Trung, thành phố Nam Định, tỉnh Nam Định, Việt Nam"
PGD Diêm Điền,(0227) 730 8368,(0227) 730 8368,https://thaibinh.hdbank.com.vn/,"Số 155 đường Nguyễn Đức Cảnh, Tổ dân phố 6, thị trấn Diêm Điền, huyện Thái Thụy, tỉnh Thái Bình, Việt Nam"
PGD Tiền Hải,(0227) 365 5589,(0227) 365 5589,https://thaibinh.hdbank.com.vn/,"Số 38 phố Hùng Thắng, tổ dân phố Hùng Thắng, thị trấn Tiền Hải, huyện Tiền Hải, tỉnh Thái Bình, Việt Nam"
PGD Từ Sơn,(0222) 376 1828,(0222) 376 1828,https://bacninh.hdbank.com.vn/,"376 Trần Phú, phường Đông Ngàn, thị xã Từ Sơn, tỉnh Bắc Ninh, Việt Nam"
PGD Lục Nam,,,https://bacgiang.hdbank.com.vn/,"Số 16 phố Thanh Xuân, thị trấn Đồi Ngô, huyện Lục Nam, tỉnh Bắc Giang, Việt Nam"
PGD Yên Lạc,(0211) 730 3668,(0211) 730 3668,https://vinhphuc.hdbank.com.vn/,"Tòa nhà Kiết Hiền, đường Dương Tĩnh, thị trấn Yên Lạc, huyện Yên Lạc, tỉnh Vĩnh Phúc, Việt Nam"
PGD Lập Thạch,,,https://vinhphuc.hdbank.com.vn/,"Đường tỉnh lộ 307, khu vực Trẻ Gắp, thị trấn Lập Thạch, huyện Lập Thạch, tỉnh Vĩnh Phúc, Việt Nam"
CN Điện Biên,,,https://dienbien.hdbank.com.vn/,"822 Đường Võ Nguyên Giáp, phường Tân Thanh, Thành phố Điện Biên Phủ, tỉnh Điện Biên, Việt Nam"
CN Lai Châu,,,https://laichau.hdbank.com.vn/,"Số 61 đường Đại lộ Lê Lợi, phương Tân Phong, thành phố Lai Châu, tỉnh Lai Châu, Việt Nam"
PGD Yên Khánh,,,https://ninhbinh.hdbank.com.vn/,"Số 514-516 , khu phố 3, thị trấn Yên Ninh, huyện Yên Khánh, tỉnh Ninh Bình, Việt Nam"
PGD Hiệp Thành,(028) 3868 5676,,https://hochiminh.hdbank.com.vn/,"182-184 Đường Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh, Vietnam"
CN Hà Giang,,,https://hagiang.hdbank.com.vn/,"Số 419 Đường Nguyễn Trãi, Phường Nguyễn Trãi, Thành phố Hà Giang, Tỉnh Hà Giang"
CN Móng Cái,,,https://quangninh.hdbank.com.vn/,"Số 59 Đại lộ Hòa Bình, Phường Trần Phú, Thành phố Móng Cái, Tỉnh Quảng Ninh"
CN Bắc Kạn,,,https://backan.hdbank.com.vn/,"Số 35, Đường Trường Chinh, Tổ 5, Phường Phùng Chí kiên, Thành phố Bắc Kạn, Tỉnh Bắc Kạn"
PGD Gia Viễn,0229.388.6368,,https://ninhbinh.hdbank.com.vn/,"Đường Hồng Dân (đường tái định cư, xã Gia Thịnh), Thị trấn Me, huyện Gia Viễn, tỉnh Ninh Bình"
Chi Nhánh Vikki,(028) 37309616,,,"Lô T2-1.5, Đường D1, Khu công nghệ cao, phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CN Tân Uyên,(0274) 368 5468,,https://binhduong.hdbank.com.vn/,"Khu nhà ở thương mại Hoàng Mai, phường Uyên Hưng, TP. Tân Uyên, Bình Dương"
